author,updated_at,like_count,text,public
@Lovegun.,2024-04-08T15:23:39Z,0,Cruz vs Tank 2. The only fight im intersted to see Tank fight. But of course hes fighing another nobody whos fought nobody.,True
@throbbingwiener6218,2024-04-08T15:23:18Z,0,Goddamn all those punches looks solid af,True
@jeremycirilo4648,2024-04-08T15:22:23Z,0,I thought this dude was really fighting Mr world wide lol,True
@Lovegun.,2024-04-08T15:21:42Z,3,Only one outcome was gonna happen. Cruz is one of the few legit old school fighters that just gets in the ring and tries to bulldoze his opponent. Big fan of that guy. One of the few modern fighters I actually like and enjoy watching. Gives it 100% everytime. Great style too. Exciting.,True
@estebanmesiasguerramelgar5770,2024-04-08T14:55:18Z,0,"Grande Issac, el representante de usa se quedo sin huevos tipico.",True
@copperdew5399,2024-04-08T14:48:08Z,0,Pitbull saying Hi to Tank Davis. Give em the rematch.,True
@GioMontse,2024-04-08T14:23:49Z,1,They should hold corrupt judges accountable and imprison them i heard cards were against cruz at the end what a shame,True
@TouchGlove1,2024-04-08T14:11:42Z,0,Damn!!! 😅,True
@brummy0,2024-04-08T14:07:38Z,0,Can’t see Cruz beating any of the top fighters his foot work isn’t very good any boxer with good fight IQ we’ll walk over Cruz his only got a couple of thinks going for him he can take a punch an he comes forward it not going to get him very far against the top five he we’ll get stopped pretty quickly.,True
@guywhosellsvapes4595,2024-04-08T13:31:23Z,0,Cruz is still gonna duck his fights against his mandatories.,True
@hughjasol660,2024-04-08T12:40:22Z,0,This is boxing correct? Quick stoppage by the ref. Not even one knockdown🙄,True
@reymunvaldes2914,2024-04-08T12:23:00Z,0,"No compares la sangre d un indio , con las demás del resto de mundo , creado x dios indios ❤",True
@jasminesegovia7701,2024-04-08T11:57:01Z,0,Very nice this is my favorite dad,True
@jasminesegovia7701,2024-04-08T11:56:40Z,0,Very nice,True
@unclipz2057,2024-04-08T10:33:00Z,0,"This fight
 getting alot of attention 😯",True
@mirkocompagno9037,2024-04-08T10:22:25Z,0,Chicken danceeeee,True
@user-tt2rb4ny5k,2024-04-08T09:26:20Z,0,Pitbull,True
@lordt7945,2024-04-08T09:23:00Z,0,O dear rolling around on wheels 😂😂😂😂😂,True
@achumouzamaki6445,2024-04-08T09:04:00Z,0,hahahaha Romero is a funny dude .The thing is that Romero will still think that he fought than cruz,True
@pistos5253,2024-04-08T08:39:17Z,1,People with Down syndrome are allowed to compete in boxing??,True
@kncthesecond9479,2024-04-08T07:53:02Z,0,Fcken I should’ve bet on this I already knew Cruz was taking the W,True
@steffenrasmussen8322,2024-04-08T07:27:09Z,0,"Cruz vs Haney, would be tailormade for Cruz 🔥",True
@joeymedina7115,2024-04-08T07:00:16Z,1,lets not forget pitbull was robbed against tank,True
@caesars.3261,2024-04-08T06:47:59Z,0,I’ve been a fan of Cruz ever since he fought Tank and got robbed by him. I saw the full fight and Tank got so lucky. Ever since that fight I noticed Pitbull Cruz wanted to end his next fights by KO as fast as possible. That way the judges can’t rob him no more. I can’t wait for him to gain his revenge 🔥🔥🤩,True
@dbowhype348,2024-04-08T05:27:06Z,0,"For those who love Premier Boxing Champions, the cryptocurrency $YGG [YGG Coin] is going UP right NOW and could have LIMITLESS money for all people here RIGHT NOW!",True
@Elcapulove,2024-04-08T05:24:23Z,0,VIVA 🇲🇽♥️From 🇵🇷,True
@sassiferkweefus1327,2024-04-08T05:04:43Z,0,Had that boy runnin all fight 😭😭😭😭😭😭😭😭😭😭 I’d sit down after that one,True
@EduardoHernandez-di8kl,2024-04-08T04:45:58Z,0,❤ love it 😊nice work!!👏🏻👍,True
@JefferyJohnson-od1mm,2024-04-08T04:29:21Z,0,Rollie is one of the worst boxing in business 😢😢,True
@user-ss4rf7mp2l,2024-04-08T03:10:55Z,0,Rolley got rolled 😂😂💪💪 well done Pitbull,True
@lakersin556,2024-04-08T02:49:50Z,0,He never recovered after getting hit by a Tank. (Davis),True
@circleoffadz6975,2024-04-08T02:47:17Z,0,Good luck davis !!!,True
@Darkpanther18Ell,2024-04-08T02:36:54Z,1,This guy is a legend already every punch is dealt with the intention to hurt and he just has that never say die attitude love it,True
@efrengrullon7347,2024-04-08T01:26:00Z,0,Maybe he learned how to be humble. Got his ass whoops,True
@Roadrunner65553,2024-04-08T01:01:15Z,0,Wow. Rolly really got beat up. He had ZERO counter left hook.,True
@dannyr9842,2024-04-08T00:40:08Z,0,"The bad news is Rolly lost his WBA title belt.
The good news is he'll be getting the construction utility belt once worn by the construction worker of THE VILLAGE PEOPLE  !😅",True
@humanspiderdotcom,2024-04-08T00:32:00Z,0,"My top Mexican Sports hero.
1.Dela Hoya
2.Checo Perez
3. Pitbull Cruz

Congratz pitbull from Philippines.",True
