author,updated_at,like_count,text,video_id,public
@jahwest4479,2024-04-09T16:26:20Z,0,"Rolly is Trash, he shouldn’t even step in the ring again",cQOq2Ih36EU,True
@St.Chriztopher,2024-04-09T16:14:28Z,0,Rolly should've taken a knee to regroup...,cQOq2Ih36EU,True
@lamar8847,2024-04-09T15:58:01Z,1,"Rolly lacks the mental sharpness of a fighter. He fights like he has very little technique. It helped against lower level opponents, but not top contenders. Rolly is tough.😊",cQOq2Ih36EU,True
@lamar8847,2024-04-09T15:54:35Z,1,It was easy for Pitbull to just walk in because Rolly did not throw ONE EFFECTIVE JAB during the whole fight. Where is his trainer?😮,cQOq2Ih36EU,True
@cvscacentral6011,2024-04-09T15:43:44Z,1,How is Romero a pro boxer???,cQOq2Ih36EU,True
@vinegum8835,2024-04-09T14:27:38Z,0,"I have seen the pre clip of Romero before fighting....
What's get's me is the way he acts as a superstar... 
Confident and tall on himself, as you should be before a fight, but this is a massive diva f'''up along with his trainers and promotors..
Or is it?...... The money always win...",cQOq2Ih36EU,True
@locdawg1906,2024-04-09T13:45:32Z,0,Eh rollyyy remember when you said Tank got lucky? Holllllllllllldddd that…,cQOq2Ih36EU,True
@PrasanthkumarKumar,2024-04-09T13:11:08Z,2,Want rematch tank vs pitbul,cQOq2Ih36EU,True
@marioa8171,2024-04-09T11:55:46Z,1,Este pitbull si representa al boxeo mexicano sin miedo y siempre adelante,cQOq2Ih36EU,True
@JhonSins-gr7os,2024-04-09T11:10:48Z,0,Congrats roland abante a.k.a bunot,cQOq2Ih36EU,True
@fero42,2024-04-09T10:58:26Z,0,"The referee made a lot of mistakes or she did it on purpose, she did not count for 10 seconds, she received the second punch, and she went backwards",cQOq2Ih36EU,True
@user-bp8nv9ei3o,2024-04-09T10:56:03Z,0,"Isaac é brutal acima de tudo resistente, o único que conseguiu lhe para foi o gervota.",cQOq2Ih36EU,True
@richarddeluna2268,2024-04-09T08:32:34Z,0,Isaac cruz vs tank davis,cQOq2Ih36EU,True
@Dennyscee,2024-04-09T08:20:02Z,0,Dude got rolled on like a rag-doll,cQOq2Ih36EU,True
@shiloistone3453,2024-04-09T07:54:19Z,0,Cruz keeps his hands nice and tight… him and gervonta definetely need a rematch,cQOq2Ih36EU,True
@fongbrandon,2024-04-09T06:41:23Z,0,This has to be up with Maidana vs Broner. A KO that never gets old now matter how many times I watch.,cQOq2Ih36EU,True
@JosephDaltonII,2024-04-09T06:28:20Z,0,Dam he fu*k him up😮,cQOq2Ih36EU,True
@pcer9973,2024-04-09T06:00:03Z,0,😂😂😂 what ending a career looks like 👍,cQOq2Ih36EU,True
@reggiewhiteuncensored9825,2024-04-09T05:20:00Z,0,Romero is trash! All talk..,cQOq2Ih36EU,True
@hoycali7396,2024-04-09T04:00:59Z,0,Mexican Golovkin 😮,cQOq2Ih36EU,True
@RBmaestroBuilders,2024-04-09T03:09:34Z,0,Tacos & beers… breakfast of champions 👊🏽🤠,cQOq2Ih36EU,True
@Lawrence437,2024-04-09T03:00:38Z,1,PItbull ate up that Cuban sandwhich 🤣🤣🤣,cQOq2Ih36EU,True
@kkaddy,2024-04-09T02:18:30Z,0,Not 1 single highlight from Rollie 😂,cQOq2Ih36EU,True
@pacoreyes2184,2024-04-09T02:12:00Z,0,"Que verguiiiza..le dió...
Happy Easter...!",cQOq2Ih36EU,True
@Lover-ur4te,2024-04-09T02:08:55Z,0,omg,cQOq2Ih36EU,True
@gs22kaiser1,2024-04-08T20:50:23Z,1,"Mexicana boxers have to fight in the ring against the judges, referee and the opponent. Son más rateros que el presidente municipal de mi pueblo.",cQOq2Ih36EU,True
@tnhezi331,2024-04-08T20:34:56Z,0,One of the best fights i have ever seen,cQOq2Ih36EU,True
@antitrollingagency,2024-04-08T20:00:08Z,1,Both are trash,cQOq2Ih36EU,True
@MizzTanzy1420,2024-04-08T18:46:32Z,0,I've never seen this dude have a good fight. smh,cQOq2Ih36EU,True
@jonathanikeda8727,2024-04-08T18:40:26Z,1,Pitbull Cruz is fighting like Mike Tyson. He knows nothing about fear. He is a dangerous fighter.,cQOq2Ih36EU,True
@Crnxzo,2024-04-08T17:57:54Z,0,same left every time he doesn’t learn doesn’t he,cQOq2Ih36EU,True
@dioesilalahi2625,2024-04-08T17:03:28Z,0,Crazy fightt🎉,cQOq2Ih36EU,True
@T-Atreves,2024-04-08T15:37:55Z,1,"Felicidades a pitbull, todo fuego gracias a su determinación y disciplina al entrenar.... 🥊🥊",cQOq2Ih36EU,True
@Lovegun.,2024-04-08T15:23:39Z,0,Cruz vs Tank 2. The only fight im intersted to see Tank fight. But of course hes fighing another nobody whos fought nobody.,cQOq2Ih36EU,True
@throbbingwiener6218,2024-04-08T15:23:18Z,0,Goddamn all those punches looks solid af,cQOq2Ih36EU,True
@jeremycirilo4648,2024-04-08T15:22:23Z,0,I thought this dude was really fighting Mr world wide lol,cQOq2Ih36EU,True
@Lovegun.,2024-04-08T15:21:42Z,3,Only one outcome was gonna happen. Cruz is one of the few legit old school fighters that just gets in the ring and tries to bulldoze his opponent. Big fan of that guy. One of the few modern fighters I actually like and enjoy watching. Gives it 100% everytime. Great style too. Exciting.,cQOq2Ih36EU,True
@estebanmesiasguerramelgar5770,2024-04-08T14:55:18Z,0,"Grande Issac, el representante de usa se quedo sin huevos tipico.",cQOq2Ih36EU,True
@copperdew5399,2024-04-08T14:48:08Z,0,Pitbull saying Hi to Tank Davis. Give em the rematch.,cQOq2Ih36EU,True
@GioMontse,2024-04-08T14:23:49Z,1,They should hold corrupt judges accountable and imprison them i heard cards were against cruz at the end what a shame,cQOq2Ih36EU,True
@TouchGlove1,2024-04-08T14:11:42Z,0,Damn!!! 😅,cQOq2Ih36EU,True
@brummy0,2024-04-08T14:07:38Z,0,Can’t see Cruz beating any of the top fighters his foot work isn’t very good any boxer with good fight IQ we’ll walk over Cruz his only got a couple of thinks going for him he can take a punch an he comes forward it not going to get him very far against the top five he we’ll get stopped pretty quickly.,cQOq2Ih36EU,True
@guywhosellsvapes4595,2024-04-08T13:31:23Z,0,Cruz is still gonna duck his fights against his mandatories.,cQOq2Ih36EU,True
@hughjasol660,2024-04-08T12:40:22Z,0,This is boxing correct? Quick stoppage by the ref. Not even one knockdown🙄,cQOq2Ih36EU,True
@reymunvaldes2914,2024-04-08T12:23:00Z,0,"No compares la sangre d un indio , con las demás del resto de mundo , creado x dios indios ❤",cQOq2Ih36EU,True
@jasminesegovia7701,2024-04-08T11:57:01Z,0,Very nice this is my favorite dad,cQOq2Ih36EU,True
@jasminesegovia7701,2024-04-08T11:56:40Z,0,Very nice,cQOq2Ih36EU,True
@unclipz2057,2024-04-08T10:33:00Z,0,"This fight
 getting alot of attention 😯",cQOq2Ih36EU,True
@mirkocompagno9037,2024-04-08T10:22:25Z,0,Chicken danceeeee,cQOq2Ih36EU,True
