author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@mauromoralesbautista6898,2024-03-31T14:18:24Z,0,Eso le pasa por ablador,True,Eso le pasa por ablador,pasa ablador,es
@santiagoUriostegui,2024-03-31T14:18:07Z,0,El rolly parecia su costal de box del pitbull jajaja orgulloso de mi Mexico chingao!!,True,El rolly parecia su costal de box del pitbull jajaja orgulloso de mi Mexico chingao!!,rolli parecia costal box pitbul jajaja orgulloso mexico chingao,es
@user-ri8dx4jy6u,2024-03-31T14:16:22Z,0,"😂😂😂😂😂😂arriba México,, pitbull cruz 🎉🎉🎉🎉🎉🎉🎉",True,"arriba México,, pitbull cruz ",arriba méxico pitbul cruz,es
@esequielGuzman-ye6cg,2024-03-31T14:15:27Z,0,Que Abusos si selo dejan lo mata,True,Que Abusos si selo dejan lo mata,abuso si selo dejan mata,es
@JoseHernandez-hp8yc,2024-03-31T14:14:36Z,1,"Isaac no es ningun chihuahua, es un acorazado eso es lo que es",True,"Isaac no es ningun chihuahua, es un acorazado eso es lo que es",isaac ningun chihuahua acorazado,es
@josephfloresmartizano1770,2024-03-31T14:12:16Z,0,Romeo has no defense like Ryan Garcia 😭😭😭😭,True,Romeo has no defense like Ryan Garcia ,romeo defens like ryan garcia,es
@alanalmaraz5857,2024-03-31T14:12:03Z,0,"viva méxico cabrones que máquina el pitbull siempre me gustó, quiero la revancha que le robaron contra gervonta , saludos desde 🇦🇷❤🇲🇽",True,"viva méxico cabrones que máquina el pitbull siempre me gustó, quiero la revancha que le robaron contra gervonta , saludos desde ❤",viva méxico cabron máquina pitbul siempr gustó quiero revancha robaron gervonta saludo,es
@almartinez1817,2024-03-31T14:10:04Z,0,"""Perro que ladra no muerde""
Felicidades Campeón! 🥊",True,"""Perro que ladra no muerde""
Felicidades Campeón! 🥊",perro ladra muerd felicidad campeón,es
@quitan100,2024-03-31T14:09:35Z,0,🇲🇽 🇲🇽. Un guerrero azteca.,True, . Un guerrero azteca.,guerrero azteca,es
@JoseFernandez-ef2dc,2024-03-31T14:05:45Z,0,Ésas son peleas.......nada que ver con los espectáculos del canelo ( circus canelerum ),True,Ésas son peleas.......nada que ver con los espectáculos del canelo ( circus canelerum ),ésa peleasnada ver espectáculo canelo circu canelerum,es
@jerryvelazquez2776,2024-03-31T14:02:57Z,0,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 es que estaba en una pista de hielo por primera vez estaba que caía y caía y pues callo 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,True, es que estaba en una pista de hielo por primera vez estaba que caía y caía y pues callo ,pista hielo primera vez caía caía pue callo,es
@user-ui7wd1nl2y,2024-03-31T14:00:35Z,0,Es lo k kiere ver México verdaderos guerreros. Y no buscando  bajos y malos peleadores. Para verse bien debería darle vergüenza a canelo,True,Es lo k kiere ver México verdaderos guerreros. Y no buscando  bajos y malos peleadores. Para verse bien debería darle vergüenza a canelo,k kier ver méxico verdadero guerrero buscando bajo malo peleador vers bien debería darl vergüenza canelo,es
@TulancingoHGO1999,2024-03-31T13:59:28Z,0,Que belleza de boxeador. Orgulloso mexicano,True,Que belleza de boxeador. Orgulloso mexicano,belleza boxeador orgulloso mexicano,es
@davidgarcialopez1607,2024-03-31T13:55:46Z,0,Muchas felicidades pitbull cruz ...,True,Muchas felicidades pitbull cruz ...,mucha felicidad pitbul cruz,es
@hamidmay9091,2024-03-31T13:54:22Z,0,Arriba México le callaron la boca 🎉,True,Arriba México le callaron la boca ,arriba méxico callaron boca,es
@DaniloTovarezOchoa,2024-03-31T13:53:34Z,0,"Le cerró la boca a ese pinche hablador de romero verdad, ese es mí campeón, aunque soy de Nicaragua, pero ne gusta las peleas de pitbull...",True,"Le cerró la boca a ese pinche hablador de romero verdad, ese es mí campeón, aunque soy de Nicaragua, pero ne gusta las peleas de pitbull...",cerró boca pinch hablador romero verdad campeón aunqu nicaragua ne gusta pelea pitbul,es
@jonathambustosnoyola7982,2024-03-31T13:52:23Z,0,Viva México 🇲🇽,True,Viva México ,viva méxico,es
@raysterE176Tremont,2024-03-31T13:51:53Z,1,Pa demostrar calibre ahora te toca con un boricua 🇵🇷💯💪🏽 a ver quien es quien,True,Pa demostrar calibre ahora te toca con un boricua  a ver quien es quien,pa demostrar calibr ahora toca boricua ver,es
@zenengonzalez9225,2024-03-31T13:49:51Z,0,Felicidades pittbull contundente victoria eres gran campeón,True,Felicidades pittbull contundente victoria eres gran campeón,felicidad pittbul contundent victoria gran campeón,es
@user-ue8fn9td9o,2024-03-31T13:49:49Z,0,Cruz le callo la boca a muchos que no creían en el y hoy es campeón viva México cruz es un guerrero,True,Cruz le callo la boca a muchos que no creían en el y hoy es campeón viva México cruz es un guerrero,cruz callo boca creían hoy campeón viva méxico cruz guerrero,es
@edwinemiliotejadaabad5900,2024-03-31T13:49:46Z,0,El mejor peleador qué hay ahora mismo es ese muchacho bravo 🙌,True,El mejor peleador qué hay ahora mismo es ese muchacho bravo ,mejor peleador ahora mismo muchacho bravo,es
@MvAlpants,2024-03-31T13:49:33Z,25,Pitbull x siempre apoyando desde bolivia 🇧🇴🇧🇴🇧🇴💥,True,Pitbull x siempre apoyando desde bolivia ,pitbul x siempr apoyando bolivia,es
@DaniloTovarezOchoa,2024-03-31T13:49:12Z,0,"Felicidades por la gran pelea de pitbull cruz soy nicaragüense pero siempre he estado enfocado a todas las peleas de ese gran campeón, pitbull cruz",True,"Felicidades por la gran pelea de pitbull cruz soy nicaragüense pero siempre he estado enfocado a todas las peleas de ese gran campeón, pitbull cruz",felicidad gran pelea pitbul cruz nicaragüens siempr enfocado toda pelea gran campeón pitbul cruz,es
@EdgarfernandoAlvarez-re2pp,2024-03-31T13:49:00Z,0,😂que desperdicio no le aguanto nada🤣🤦,True,que desperdicio no le aguanto nada🤣🤦,desperdicio aguanto,es
@TheEpicAverageMan,2024-03-31T13:48:57Z,0,Arriva Mexico!!🎉🎉🎉,True,Arriva Mexico!!,arriva mexico,es
@danieldaniel8092,2024-03-31T13:48:42Z,0,Este canijo es un tigre disfrasado de pitbul Jajajajajajajajaaa,True,Este canijo es un tigre disfrasado de pitbul Jajajajajajajajaaa,canijo tigr disfrasado pitbul jajajajajajajajaaa,es
@JoseReyes-jm1kh,2024-03-31T13:48:40Z,0,Viva Mexico cabrones,True,Viva Mexico cabrones,viva mexico cabron,es
@jesussantos9140,2024-03-31T13:46:55Z,0,Siempre mexico el papá  delos boricuas y cubanos  lo hiso mierda al hablador ese,True,Siempre mexico el papá  delos boricuas y cubanos  lo hiso mierda al hablador ese,siempr mexico papá delo boricua cubano hiso mierda hablador,es
@ramonramirez4131,2024-03-31T13:44:06Z,0,"Al roly nada mas le falto decir._

YA GÜEY!!!",True,"Al roly nada mas le falto decir._

YA GÜEY!!!",roli ma falto decir güey,es
