author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@crush9197,2024-03-31T04:52:17Z,0,Give me a hell yeah 🇲🇽,True,Give me a hell yeah ,give hell yeah,en
@rdusplashofbluerivera2452,2024-03-31T04:52:13Z,0,Mexican power,True,Mexican power,mexican power,en
@kingjames-vv7hg,2024-03-31T04:52:05Z,0,understandably why the tank is scared af,True,understandably why the tank is scared af,understand tank scare af,en
@sorianojimber4246,2024-03-31T04:52:04Z,0,Rolly the molly is the modern AB 😂,True,Rolly the molly is the modern AB ,rolli molli modern ab,en
@marilyncanindo2997,2024-03-31T04:52:04Z,0,I knew Isaac pitbull Cruz is dangerous he will kill rolly Romero if the ref don't stop the fight in right time. pitbull Cruz the only fighter who can beat gervonta Davis in a rematch,True,I knew Isaac pitbull Cruz is dangerous he will kill rolly Romero if the ref don't stop the fight in right time. pitbull Cruz the only fighter who can beat gervonta Davis in a rematch,knew isaac pitbul cruz danger kill rolli romero ref dont stop fight right time pitbul cruz fighter beat gervonta davi rematch,en
@Vinvin0620,2024-03-31T04:51:56Z,0,That's why Tank said no to rematch on him,True,That's why Tank said no to rematch on him,that tank said rematch,en
@moreno2912,2024-03-31T04:51:53Z,0,"Congratulations To Cruz.
Romero  Should Be  Arrested Should  He  Attempt To Fight Again.
Did Romero Forget That In Boxing You Actually Have To Throw Punches To In Fact Win?
What Did He Go In There For?
The Guy Looked Lost Every Round.
No Wonder Why Today's Boxing Era Is Goofy And Insanely Boring.",True,"Congratulations To Cruz.
Romero  Should Be  Arrested Should  He  Attempt To Fight Again.
Did Romero Forget That In Boxing You Actually Have To Throw Punches To In Fact Win?
What Did He Go In There For?
The Guy Looked Lost Every Round.
No Wonder Why Today's Boxing Era Is Goofy And Insanely Boring.",congratul cruz romero arrest attempt fight romero forget box actual throw punch fact win go guy look lost everi round wonder today box era goofi insan bore,en
@lluidmerlok2082,2024-03-31T04:51:48Z,0,"Very well deserved winning by pitbull cruz but i feel kinda sad for romero, he need to think about his healt, or stop boxing he has been taking lot of damage.",True,"Very well deserved winning by pitbull cruz but i feel kinda sad for romero, he need to think about his healt, or stop boxing he has been taking lot of damage.",well deserv win pitbul cruz feel kinda sad romero need think healt stop box take lot damag,en
@pablofigueroa14,2024-03-31T04:51:39Z,0,Everyone knew Romero was a forgazie!!!!!!!!,True,Everyone knew Romero was a forgazie!!!!!!!!,everyon knew romero forgazi,en
@3rikhndez,2024-03-31T04:50:59Z,0,Pitbull Cruz is a True Aztec Warrior 💪🏽,True,Pitbull Cruz is a True Aztec Warrior ,pitbul cruz true aztec warrior,en
